"Fecha","AYAVIRI","PROGRESO","LAMPA","CABANILLAS","AZANGARO","ARAPA","MUNANI","HUANCANE","HUARAYAMOHO","CAPACHICA"
1965-07-16,131,134,146,121,102,54,194,56,67,77
1966-07-16,113,124,114,98,97,96,126,125,117,70
1967-07-16,38,40,42,37,76,37,48,33,39,37
1968-07-16,72,70,46,59,51,40,45,25,24,46
1969-07-16,77,65,61,101,78,53,132,51,35,78
1970-07-16,109,108,77,117,126,114,74,63,107,93
1971-07-16,100,84,112,86,100,84,84,44,84,100
1972-07-16,65,71,124,124,71,65,136,69,69,134
1973-07-16,71,69,54,64,70,35,124,90,34,35
1974-07-16,60,60,59,106,59,36,180,61,59,45
1975-07-16,124,116,102,129,94,121,129,133,77,86
1976-07-16,116,43,65,46,63,49,57,52,28,76
1977-07-16,179,103,106,128,102,46,135,52,47,102
1978-07-16,89,104,57,145,124,79,72,55,33,65
1979-07-16,53,53,87,92,131,107,138,58,53,94
1980-07-16,54,60,94,56,55,54,54,46,39,149
1981-07-16,122,86,118,75,48,100,81,76,51,79
1982-07-16,61,131,58,31,107,107,114,58,62,107
1983-07-16,108,152,56,57,119,155,118,70,76,89
1984-07-16,59,51,69,48,53,142,54,50,31,114
1985-07-16,77,75,63,66,77,85,69,56,68,60
1986-07-16,104,104,81,81,107,85,75,72,78,110
1987-07-16,48,67,70,79,46,46,65,47,47,64
1988-07-16,117,122,117,117,98,99,148,114,113,77
1989-07-16,46,45,72,53,33,44,33,31,35,48
1990-07-16,64,71,70,69,58,70,83,57,42,70
1991-07-16,81,152,109,101,92,42,91,50,77,93
1992-07-16,63,82,63,63,63,63,63,63,61,63
1993-07-16,60,33,92,92,64,64,35,64,37,75
1994-07-16,113,112,134,143,123,114,107,107,74,58
1995-07-16,155,153,117,144,154,127,167,93,106,91
1996-07-16,103,62,57,68,60,68,95,60,59,47
1997-07-16,81,95,79,89,84,80,80,76,77,80
1998-07-16,139,70,173,116,71,68,97,67,62,88
1999-07-16,136,125,89,90,122,91,122,82,122,123
2000-07-16,47,44,65,113,64,47,63,65,58,75
2001-07-16,54,60,44,85,52,35,41,40,39,39
2002-07-16,42,42,48,27,42,42,24,42,41,51
2003-07-16,50,48,74,77,48,49,48,35,35,37
2004-07-16,58,59,50,58,59,37,55,34,49,59
2005-07-16,106,94,151,144,114,84,66,112,113,120
2006-07-16,125,66,93,147,82,82,111,83,137,70
2007-07-16,113,113,60,119,112,52,114,71,59,61
2008-07-16,146,125,56,145,125,114,138,125,114,189
2009-07-16,114,79,146,99,114,90,95,89,79,104
2010-07-16,136,95,126,119,77,134,101,126,95,95
2011-07-16,57,59,38,66,81,69,59,70,49,69
2012-07-16,146,130,74,123,114,122,110,121,77,77
2013-07-16,72,39,38,42,91,40,39,35,43,36
2014-07-16,81,80,80,88,77,67,31,55,28,80
2015-07-16,38,68,27,52,46,38,92,38,38,50
2016-07-16,46,46,77,73,66,65,46,75,42,78
2017-07-16,66,66,65,64,66,66,46,66,65,64
2018-07-16,34,39,56,74,38,48,47,37,39,34
2019-07-16,65,121,48,65,112,65,65,73,46,48
