"Fecha","AYAVIRI","PROGRESO","LAMPA","CABANILLAS","AZANGARO","ARAPA","MUNANI","HUANCANE","HUARAYAMOHO","CAPACHICA"
1965-07-16,11,7,10,8,7,12,7,8,10,6
1966-07-16,7,6,12,11,6,9,14,5,9,7
1967-07-16,9,9,7,8,9,8,9,8,10,13
1968-07-16,10,11,11,7,11,8,10,9,17,12
1969-07-16,10,8,8,10,6,6,8,7,8,5
1970-07-16,11,9,10,9,7,12,11,19,16,16
1971-07-16,11,9,20,9,9,11,40,18,15,12
1972-07-16,13,11,14,10,7,8,10,10,9,14
1973-07-16,30,9,10,7,20,15,11,8,7,12
1974-07-16,17,8,23,18,8,22,25,6,11,16
1975-07-16,13,8,13,12,8,13,18,15,12,11
1976-07-16,30,9,8,10,5,8,78,8,7,14
1977-07-16,16,9,11,13,8,9,7,12,17,18
1978-07-16,27,10,20,16,11,9,15,10,9,9
1979-07-16,11,7,17,15,11,10,10,9,7,9
1980-07-16,11,7,11,11,9,8,11,11,10,15
1981-07-16,19,9,14,15,9,19,12,12,13,35
1982-07-16,8,7,12,20,14,14,10,8,7,33
1983-07-16,5,6,8,5,7,9,4,6,5,13
1984-07-16,17,21,41,28,74,30,27,15,15,60
1985-07-16,18,41,11,14,41,18,14,12,14,12
1986-07-16,19,13,13,11,12,17,11,11,8,18
1987-07-16,13,9,8,7,13,12,8,6,9,9
1988-07-16,14,18,12,11,32,10,8,9,15,10
1989-07-16,14,7,8,11,20,14,6,7,5,11
1990-07-16,7,8,7,21,12,7,6,7,12,11
1991-07-16,10,9,10,10,14,10,8,8,7,8
1992-07-16,7,20,6,13,14,8,7,9,11,9
1993-07-16,19,10,12,11,10,8,7,6,11,13
1994-07-16,6,10,9,9,12,7,11,6,8,18
1995-07-16,8,9,9,8,8,7,14,15,7,13
1996-07-16,10,10,11,8,9,6,8,12,11,10
1997-07-16,12,14,6,13,8,12,11,9,8,21
1998-07-16,10,7,8,9,5,6,9,6,6,7
1999-07-16,21,5,10,10,6,11,5,9,10,21
2000-07-16,9,8,8,8,13,10,9,6,12,12
2001-07-16,11,7,13,16,11,20,8,11,10,17
2002-07-16,11,6,6,17,10,11,7,7,7,11
2003-07-16,13,16,7,15,8,8,15,12,18,14
2004-07-16,21,12,21,15,15,12,15,15,6,19
2005-07-16,10,8,15,18,10,10,13,9,12,10
2006-07-16,12,6,10,11,14,12,9,11,9,12
2007-07-16,12,9,9,11,6,10,10,10,10,8
2008-07-16,9,6,14,15,8,11,7,9,13,6
2009-07-16,7,14,16,8,8,6,6,10,9,14
2010-07-16,8,11,13,10,10,14,11,9,8,17
2011-07-16,12,9,18,8,12,16,16,5,12,21
2012-07-16,15,10,30,16,8,13,11,15,7,15
2013-07-16,24,11,30,12,11,23,24,11,9,7
2014-07-16,13,6,7,6,7,10,9,8,9,6
2015-07-16,12,10,9,6,8,9,9,7,9,10
2016-07-16,7,6,8,10,5,6,7,6,8,7
2017-07-16,5,11,8,10,8,5,8,6,7,6
2018-07-16,11,6,12,7,9,10,6,11,8,10
2019-07-16,10,7,18,13,6,11,8,10,6,10
