"Fecha","AYAVIRI","PROGRESO","LAMPA","CABANILLAS","AZANGARO","ARAPA","MUNANI","HUANCANE","HUARAYAMOHO","CAPACHICA"
1965-07-16,184,74,198,77,98,125,78,168,95,125
1966-07-16,170,76,193,68,112,133,110,199,101,143
1967-07-16,146,53,189,44,81,125,81,145,80,126
1968-07-16,167,82,178,93,98,139,140,156,102,147
1969-07-16,164,89,178,88,111,127,95,143,101,154
1970-07-16,154,75,185,92,93,135,114,148,101,126
1971-07-16,167,102,220,143,119,152,89,195,132,161
1972-07-16,149,93,174,95,96,131,97,166,106,134
1973-07-16,105,68,157,74,74,102,72,129,72,100
1974-07-16,135,67,202,90,90,126,75,155,102,141
1975-07-16,108,71,210,81,94,121,104,150,84,112
1976-07-16,161,75,202,90,112,152,95,189,109,146
1977-07-16,166,79,194,111,121,139,89,173,107,169
1978-07-16,158,79,194,112,119,139,110,165,123,132
1979-07-16,155,84,185,98,101,128,87,143,104,139
1980-07-16,159,78,166,81,115,127,98,152,102,126
1981-07-16,135,87,148,79,104,93,110,162,112,124
1982-07-16,154,137,151,65,130,124,117,155,102,133
1983-07-16,155,82,210,68,96,123,71,163,80,117
1984-07-16,142,54,152,76,70,97,85,159,81,114
1985-07-16,124,66,146,64,74,82,48,143,71,72
1986-07-16,164,92,177,76,116,138,138,165,101,98
1987-07-16,149,68,206,58,86,119,89,163,89,111
1988-07-16,154,98,204,51,108,117,94,163,105,87
1989-07-16,154,72,205,66,86,131,85,161,96,124
1990-07-16,163,82,177,79,97,146,89,166,104,161
1991-07-16,184,90,187,69,113,150,113,181,127,158
1992-07-16,171,99,218,101,128,165,108,189,127,173
1993-07-16,129,79,164,63,97,112,93,141,97,107
1994-07-16,146,99,184,85,109,129,107,147,111,134
1995-07-16,155,103,210,89,114,135,103,155,118,157
1996-07-16,148,74,180,58,100,116,79,163,104,151
1997-07-16,152,71,189,73,95,113,99,160,115,145
1998-07-16,150,63,194,82,106,145,74,168,116,137
1999-07-16,134,65,179,62,91,125,83,155,112,136
2000-07-16,150,64,199,59,86,126,108,169,105,153
2001-07-16,133,89,172,56,86,104,117,156,98,127
2002-07-16,118,65,150,40,77,98,51,141,85,118
2003-07-16,155,106,206,73,121,132,100,158,118,143
2004-07-16,140,79,207,69,103,118,91,158,109,129
2005-07-16,150,111,178,84,112,133,117,182,113,129
2006-07-16,148,113,172,84,106,130,105,140,109,138
2007-07-16,143,101,171,45,89,99,78,125,103,116
2008-07-16,178,142,215,90,120,170,115,166,134,152
2009-07-16,153,124,196,72,108,142,130,168,116,144
2010-07-16,148,116,189,65,105,130,94,165,106,148
2011-07-16,145,117,149,73,99,122,88,158,105,143
2012-07-16,157,128,174,83,114,126,105,156,115,144
2013-07-16,154,124,187,64,89,134,104,154,103,137
2014-07-16,124,104,167,63,83,100,85,145,93,132
2015-07-16,132,65,178,75,86,110,79,153,94,125
2016-07-16,153,91,203,57,126,129,110,172,125,153
2017-07-16,129,66,175,56,95,99,85,148,93,118
2018-07-16,148,92,170,76,115,113,99,179,107,142
2019-07-16,145,87,162,85,116,125,109,154,112,138
