"Fecha","AYAVIRI","PROGRESO","LAMPA","CABANILLAS","AZANGARO","ARAPA","MUNANI","HUANCANE","HUARAYAMOHO","CAPACHICA"
1965-07-16,365,365,272,NA,365,355,365,330,365,321
1966-07-16,352,365,317,NA,365,354,343,314,355,314
1967-07-16,333,359,280,NA,365,344,345,320,358,285
1968-07-16,351,351,289,NA,357,356,356,311,357,297
1969-07-16,365,365,315,NA,365,365,365,365,365,303
1970-07-16,364,365,284,NA,365,343,337,300,364,291
1971-07-16,344,351,289,NA,360,348,330,291,349,330
1972-07-16,365,363,300,NA,365,358,357,331,358,337
1973-07-16,365,365,260,NA,365,365,365,332,365,313
1974-07-16,357,365,294,NA,365,365,365,365,365,336
1975-07-16,331,358,310,NA,358,341,358,311,325,324
1976-07-16,339,362,280,NA,362,358,362,286,331,345
1977-07-16,350,365,283,NA,365,364,365,337,365,361
1978-07-16,342,365,281,NA,365,343,338,325,338,365
1979-07-16,365,365,289,NA,365,349,365,318,361,329
1980-07-16,365,365,335,NA,365,365,365,339,365,340
1981-07-16,365,327,312,NA,365,363,359,311,365,340
1982-07-16,365,364,363,NA,365,365,365,325,365,365
1983-07-16,365,365,365,NA,365,356,365,365,365,365
1984-07-16,358,365,356,NA,365,359,362,331,363,342
1985-07-16,343,361,281,NA,363,357,348,290,347,357
1986-07-16,337,365,288,NA,365,352,352,309,353,352
1987-07-16,362,362,283,NA,362,361,362,298,361,362
1988-07-16,365,365,282,NA,365,365,365,316,365,365
1989-07-16,350,365,296,NA,365,361,365,294,365,317
1990-07-16,365,365,307,NA,365,355,365,308,356,304
1991-07-16,353,353,314,NA,365,352,365,312,352,341
1992-07-16,353,362,290,NA,364,355,364,289,348,333
1993-07-16,354,365,316,NA,365,365,365,307,365,365
1994-07-16,365,365,280,NA,365,359,365,300,365,357
1995-07-16,365,365,338,NA,365,365,365,335,339,338
1996-07-16,327,365,292,NA,365,351,365,291,360,318
1997-07-16,360,365,315,NA,365,365,365,322,353,344
1998-07-16,350,365,314,NA,365,362,365,308,365,348
1999-07-16,341,365,326,NA,365,361,365,310,351,341
2000-07-16,363,365,326,NA,365,363,365,328,342,325
2001-07-16,365,354,323,NA,365,365,365,306,365,306
2002-07-16,337,358,313,NA,354,348,344,323,334,314
2003-07-16,357,365,265,NA,365,358,359,311,358,280
2004-07-16,341,365,298,NA,365,365,365,326,365,305
2005-07-16,364,365,255,NA,365,365,365,256,365,338
2006-07-16,343,358,339,NA,360,343,358,316,343,338
2007-07-16,361,365,313,NA,365,365,365,319,361,337
2008-07-16,352,365,301,NA,365,362,365,286,361,308
2009-07-16,359,365,357,NA,365,359,365,356,359,357
2010-07-16,365,365,341,NA,365,365,365,288,365,341
2011-07-16,363,363,327,NA,365,362,357,294,364,331
2012-07-16,339,365,306,NA,365,362,365,276,362,338
2013-07-16,365,365,364,NA,365,365,365,348,365,364
2014-07-16,365,365,358,NA,365,365,365,365,365,358
2015-07-16,353,354,310,NA,365,365,365,311,365,311
2016-07-16,340,365,334,NA,365,365,365,312,365,355
2017-07-16,353,365,350,NA,365,365,365,285,352,285
2018-07-16,357,365,359,NA,362,365,365,306,365,314
2019-07-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
