"Fecha","AYAVIRI","PROGRESO","LAMPA","CABANILLAS","AZANGARO","ARAPA","MUNANI","HUANCANE","HUARAYAMOHO","CAPACHICA"
1965-07-16,0,0,0,NA,0,0,0,0,0,0
1966-07-16,0,0,0,NA,0,0,0,0,0,0
1967-07-16,0,0,0,NA,0,0,0,0,0,0
1968-07-16,0,0,0,NA,0,0,0,0,0,0
1969-07-16,0,0,0,NA,0,0,0,0,0,0
1970-07-16,0,0,0,NA,0,0,0,0,0,0
1971-07-16,0,0,0,NA,0,0,0,0,0,0
1972-07-16,0,0,0,NA,0,0,0,0,0,0
1973-07-16,0,0,0,NA,0,0,0,0,0,0
1974-07-16,0,0,0,NA,0,0,0,0,0,0
1975-07-16,0,0,0,NA,0,0,0,0,0,0
1976-07-16,0,0,0,NA,0,0,0,0,0,0
1977-07-16,0,0,0,NA,0,0,0,0,0,0
1978-07-16,0,0,0,NA,0,0,0,0,0,0
1979-07-16,0,0,0,NA,0,0,0,0,0,0
1980-07-16,0,0,0,NA,0,0,0,0,0,0
1981-07-16,0,0,0,NA,0,0,0,0,0,0
1982-07-16,0,0,0,NA,0,0,0,0,0,0
1983-07-16,0,0,0,NA,0,0,0,0,0,0
1984-07-16,0,0,0,NA,0,0,0,0,0,0
1985-07-16,0,0,0,NA,0,0,0,0,0,0
1986-07-16,0,0,0,NA,0,0,0,0,0,0
1987-07-16,0,0,0,NA,0,0,0,0,0,0
1988-07-16,0,0,0,NA,0,0,0,0,0,0
1989-07-16,0,0,0,NA,0,0,0,0,0,0
1990-07-16,0,0,0,NA,0,0,0,0,0,0
1991-07-16,0,0,0,NA,0,0,0,0,0,0
1992-07-16,0,0,0,NA,0,0,0,0,0,0
1993-07-16,0,0,0,NA,0,0,0,0,0,0
1994-07-16,0,0,0,NA,0,0,0,0,0,0
1995-07-16,0,0,0,NA,0,0,0,0,0,0
1996-07-16,0,0,0,NA,0,0,0,0,0,0
1997-07-16,0,0,0,NA,0,0,0,0,0,0
1998-07-16,0,0,0,NA,0,0,0,0,0,0
1999-07-16,0,0,0,NA,0,0,0,0,0,0
2000-07-16,0,0,0,NA,0,0,0,0,0,0
2001-07-16,0,0,0,NA,0,0,0,0,0,0
2002-07-16,0,0,0,NA,0,0,0,0,0,0
2003-07-16,0,0,0,NA,0,0,0,0,0,0
2004-07-16,0,0,0,NA,0,0,0,0,0,0
2005-07-16,0,0,0,NA,0,0,0,0,0,0
2006-07-16,0,0,0,NA,0,0,0,0,0,0
2007-07-16,0,0,0,NA,0,0,0,0,0,0
2008-07-16,0,0,0,NA,0,0,0,0,0,0
2009-07-16,0,0,0,NA,0,0,0,0,0,0
2010-07-16,0,0,0,NA,0,0,0,0,0,0
2011-07-16,0,0,0,NA,0,0,0,0,0,0
2012-07-16,0,0,0,NA,0,0,0,0,0,0
2013-07-16,0,0,0,NA,0,0,0,0,0,0
2014-07-16,0,0,0,NA,0,0,0,0,0,0
2015-07-16,0,0,0,NA,0,0,0,0,0,0
2016-07-16,0,0,0,NA,0,0,0,0,0,0
2017-07-16,0,0,0,NA,0,0,0,0,0,0
2018-07-16,0,0,0,NA,0,0,0,0,0,0
2019-07-16,0,0,0,NA,0,0,0,0,0,0
