"Fecha","AYAVIRI","PROGRESO","LAMPA","CABANILLAS","AZANGARO","ARAPA","MUNANI","HUANCANE","HUARAYAMOHO","CAPACHICA"
1965-07-16,713.8,679,597.5,677.2,569.8,587.6,458,735.8,888.2,794.9
1966-07-16,507.8,444.5,438.5,511.2,544.6,505.9,444.8,624.7,819.6,560.9
1967-07-16,650.3,530.9,623.3,557,505.9,627.4,618.7,509.5,727.1,841.7
1968-07-16,639.9,533.2,713.7,597.8,478.9,612.1,653.9,823.6,998.9,974.3
1969-07-16,448,451.9,501.4,462.3,372.1,440.7,527.6,547.5,674.5,531.8
1970-07-16,621.1,700.8,575.4,563.6,646.9,727.5,755.4,719.2,912.8,689.1
1971-07-16,523.4,517.7,549.5,530.8,492.8,552.7,622.5,515.3,865.3,692.1
1972-07-16,628.3,621.3,647.5,718.8,583.4,768.2,411.8,617.6,824.1,715.2
1973-07-16,858,768.3,795.2,720.2,683.7,766,412,645.9,932.6,858
1974-07-16,782.9,532.5,665.2,836.9,543.1,736.6,314.2,609.8,912.9,865.9
1975-07-16,797.8,545.6,623.1,753.3,588.6,534,466.2,717.2,1026.5,1074.6
1976-07-16,364.6,608.7,587.7,596.9,494.1,543.4,1368.8,363.5,814.5,748.6
1977-07-16,406.3,603.7,835.8,777.6,551.8,717,638.7,568.7,842.1,880
1978-07-16,842.4,812,1169.6,811.2,767.7,827.1,983.6,970,1027.4,921.7
1979-07-16,645.1,572.3,699.8,654.8,483.7,810.7,659.9,663.9,1088.6,872.5
1980-07-16,618.5,482.6,640.8,549.9,459.7,897.1,544,693.4,732.6,504.1
1981-07-16,748.1,680.2,860,609.8,611.7,1025.6,735.8,956.2,1063.6,1009.8
1982-07-16,881.8,592.4,782.5,550.1,531.9,744.5,588.1,652.4,853.2,765.3
1983-07-16,371.3,347.5,286.2,222.2,342.6,427.4,412.3,447.4,608.1,460.4
1984-07-16,1372.8,889.3,1406,898.2,1048.9,1125.9,1075.5,826.1,1255.8,1162.2
1985-07-16,992.6,946.7,1201.2,832.3,968.2,1303.7,883.9,1045.8,1370.3,1376.4
1986-07-16,812.7,753.4,733.1,833.2,608.4,1080.4,755.9,879,1090.6,1190.3
1987-07-16,561.2,676.1,630.4,522.2,636.1,631.6,647.7,589.6,765.1,515.9
1988-07-16,640.6,569,740,825.3,570.1,766.9,590.7,892.1,957.5,1040.2
1989-07-16,592.4,678.9,485.4,534.9,537.6,501.4,631.1,652.7,543.8,954.6
1990-07-16,651.7,502.4,537.8,635.7,527.4,603.5,515.2,609.3,823.1,824.4
1991-07-16,639.5,571,606.9,583.6,568.3,638.5,710,664,839.7,870.4
1992-07-16,449.7,527.6,518,412.2,478.2,502,583.6,632.5,710.8,649.7
1993-07-16,748.9,725.2,648.7,725.9,753.2,737.1,660.1,663.5,853.5,1130.6
1994-07-16,596.8,657.4,617.9,676.2,640.2,710.1,591.1,599.2,823.6,1113.3
1995-07-16,558.2,455,473.3,410,448,580.4,587.6,517.1,689.2,645.6
1996-07-16,580.7,555.4,692.7,655.8,524.7,498.7,576.8,642.6,806.4,656.8
1997-07-16,825.8,829.4,843.6,929,779.6,787.1,750.1,789.3,1090.1,942.2
1998-07-16,550.4,501.1,562.3,598.3,429.1,522.9,467.1,567.9,541.2,481.4
1999-07-16,642,578.2,730.4,655.3,502.2,591.4,518.2,580.7,722,949.5
2000-07-16,681.4,604,669.6,778.2,508.3,634.4,614.5,522.8,688,694.5
2001-07-16,673,638.3,776.4,842,714.9,914.3,736.5,843.5,1147,1037.4
2002-07-16,822.1,886,886.4,914.7,895.9,847.3,685,943.2,1122.3,1042.8
2003-07-16,724,638.3,686.7,686.2,575.3,637.2,791.2,745.6,1058.9,901.1
2004-07-16,849.2,771.4,730.7,531.6,596.2,740.3,909.8,682.9,659.4,752.3
2005-07-16,695.7,570,860.3,651.3,510.6,631.9,716.1,594.6,812.4,737.8
2006-07-16,689.1,533.3,677.7,722.9,511.1,495.1,712.2,609.7,699.1,703.1
2007-07-16,631.4,577.8,736.5,793.5,617.8,640.1,461.1,686.3,837.9,585.4
2008-07-16,612,507.5,618.4,657.6,527.3,531.2,568.2,566.8,822.9,641.8
2009-07-16,601.6,529.1,676.6,610.3,533.3,583.1,467.1,424.2,578.9,585.9
2010-07-16,601.4,549.8,542.5,614.2,482.6,532,581.6,512.8,830.8,672.1
2011-07-16,729.6,720.6,995.5,756.8,601.8,746.6,685.3,558.7,664,753.8
2012-07-16,801.7,677.6,853,836.6,529.6,670,609.8,643.8,1119.2,821.9
2013-07-16,829.1,742.5,741.3,677.2,679.4,668.7,697.4,763,828.5,846.6
2014-07-16,672.3,596.2,734.3,643.8,622.1,630.1,587.1,671.5,629.1,651.5
2015-07-16,630.2,722.9,692.1,748.7,657.1,637.5,692.6,602.4,934.1,785.3
2016-07-16,535,649.8,563.8,490.9,625.6,442.5,594.8,631.4,814.9,593
2017-07-16,565.8,645.5,885.8,749.1,434.7,658.9,616,587.9,866.7,726.2
2018-07-16,564.2,618.7,849.2,708.5,636.2,672,675.3,532.1,775.7,781.3
2019-07-16,703.5,657.8,773.2,575.8,664.2,710.6,681.1,661.2,911.4,647.7
