"Fecha","AYAVIRI","PROGRESO","LAMPA","CABANILLAS","AZANGARO","ARAPA","MUNANI","HUANCANE","HUARAYAMOHO","CAPACHICA"
1965-07-16,24,22,17,23,21,19,18,30,26,27
1966-07-16,14,14,12,14,20,12,12,24,26,16
1967-07-16,22,12,16,18,12,17,20,15,22,24
1968-07-16,18,14,27,21,10,13,22,30,37,34
1969-07-16,13,14,14,8,11,11,16,16,24,21
1970-07-16,19,23,18,17,21,21,27,20,39,25
1971-07-16,14,14,18,14,12,17,22,14,31,29
1972-07-16,19,16,17,26,17,29,11,19,26,22
1973-07-16,25,26,26,25,18,27,8,20,38,26
1974-07-16,25,13,17,32,15,22,4,21,27,31
1975-07-16,32,14,21,23,17,15,5,24,36,40
1976-07-16,6,19,18,16,15,13,82,13,26,33
1977-07-16,11,18,33,27,17,20,17,19,32,37
1978-07-16,32,26,42,29,27,35,40,30,33,31
1979-07-16,20,17,25,17,15,29,19,20,38,34
1980-07-16,19,12,18,14,15,37,13,24,29,16
1981-07-16,16,19,22,17,12,42,20,30,39,31
1982-07-16,27,19,24,10,14,27,19,20,32,24
1983-07-16,10,9,9,6,6,15,13,13,22,12
1984-07-16,46,22,62,24,31,37,36,28,42,50
1985-07-16,33,29,46,24,24,56,35,33,48,60
1986-07-16,28,27,19,31,14,42,29,29,38,58
1987-07-16,20,23,20,20,17,18,29,14,27,17
1988-07-16,21,16,27,30,9,26,23,30,26,45
1989-07-16,20,27,14,14,9,14,19,20,19,49
1990-07-16,28,16,16,10,12,15,15,20,20,33
1991-07-16,18,20,23,21,12,27,26,18,32,36
1992-07-16,12,14,17,8,7,14,20,20,25,24
1993-07-16,26,24,26,20,24,20,20,21,33,39
1994-07-16,17,24,17,21,20,23,19,19,27,39
1995-07-16,19,16,14,14,12,18,22,20,27,22
1996-07-16,16,17,25,20,12,16,19,16,31,20
1997-07-16,28,26,30,33,27,26,24,24,41,38
1998-07-16,17,16,21,19,9,14,12,17,18,13
1999-07-16,17,22,23,24,15,16,18,16,27,30
2000-07-16,21,19,24,25,13,19,18,18,23,24
2001-07-16,24,22,26,24,22,34,24,29,39,42
2002-07-16,26,36,32,30,28,23,18,28,37,39
2003-07-16,22,17,24,18,20,17,25,29,36,31
2004-07-16,35,26,28,18,25,25,36,21,19,30
2005-07-16,25,21,34,19,14,21,23,24,31,30
2006-07-16,30,19,20,21,14,15,20,22,25,26
2007-07-16,20,19,25,21,16,23,12,23,28,22
2008-07-16,17,12,18,21,15,17,12,21,30,26
2009-07-16,21,14,25,19,16,19,10,17,18,21
2010-07-16,22,18,20,18,12,14,21,18,28,27
2011-07-16,21,23,38,28,13,29,25,16,24,27
2012-07-16,24,27,28,33,17,21,16,21,38,29
2013-07-16,24,22,13,19,22,19,19,26,33,32
2014-07-16,23,18,24,22,20,20,19,23,17,20
2015-07-16,17,21,26,28,23,16,21,15,32,27
2016-07-16,12,26,16,17,23,14,21,18,23,23
2017-07-16,15,16,33,30,6,25,18,18,29,25
2018-07-16,15,21,28,29,20,22,18,14,26,28
2019-07-16,21,21,26,22,23,26,23,17,31,22
