year,prcptot
1965,677.2
1966,511.2
1967,557
1968,597.8
1969,462.3
1970,563.6
1971,530.8
1972,718.8
1973,720.2
1974,836.9
1975,753.3
1976,596.9
1977,777.6
1978,811.2
1979,654.8
1980,553.5
1981,609.8
1982,550.1
1983,222.2
1984,899.8
1985,832.3
1986,833.2
1987,522.2
1988,825.3
1989,534.9
1990,635.7
1991,583.6
1992,412.2
1993,725.9
1994,676.2
1995,410
1996,665.8
1997,929
1998,598.3
1999,655.3
2000,778.2
2001,842
2002,914.7
2003,686.2
2004,531.6
2005,651.3
2006,722.9
2007,793.5
2008,662.6
2009,610.3
2010,614.2
2011,756.8
2012,847.3
2013,677.2
2014,643.8
2015,748.7
2016,494.3
2017,749.1
2018,708.5
2019,575.8
