year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
1965,55.2,31.4,38.6,39.1,5,0,0,0,7.8,14.2,22,60.3,60.3
1966,40.5,103.5,50.5,17.9,31,0,0,1,5,18.4,28.6,37.1,103.5
1967,24.4,34.8,60.4,7.3,6.9,0.6,6.8,8.8,19.9,17.6,4.2,51.8,60.4
1968,40.3,48.5,20.4,8.3,14,3.9,2.2,0,13.5,21.1,55.4,38.2,55.4
1969,65.4,34,18.1,13.2,0,0.6,3,0,4.4,13.6,44.8,32,65.4
1970,35.2,44.9,65.3,14.3,10,0,0,0,11,19.5,7.3,44.5,65.3
1971,50.5,102.8,36.6,9,11,0,0,4,0,10.3,36.7,41,102.8
1972,60.7,36.3,71.3,48.4,6.2,0,0,0.6,14,20.5,14.8,43.9,71.3
1973,65.7,60.1,55.3,30.4,11.2,0,2.1,0.8,39.3,14.8,14.9,71.3,71.3
1974,74.5,88,31.7,29.5,0,0,0,28.6,25.4,10.2,44,54.7,88
1975,55.1,85.5,41.1,14.6,23.5,0,0,0,6.1,18.3,10.8,78.8,85.5
1976,73.3,47,63,9.9,2,1.9,1.3,3.3,29.7,4.3,6.1,29.2,73.3
1977,37.7,75.1,67,19.4,0,0,0,0,10.3,18.5,76.2,77,77
1978,62.4,69.4,60.6,19.3,0,0,0,0,2.9,6.1,33.6,56.8,69.4
1979,59.7,51.4,31.9,39,3.9,0,0.6,1.2,3.1,18.9,35.2,55.3,59.7
1980,23.9,48,62,8.6,5.3,0,1,32.7,25.3,30.5,33.5,33.6,62
1981,34.8,44.1,48.5,33,0,0,1,10.8,10.8,8.6,22.2,17.5,48.5
1982,39.4,58.5,45.6,26.6,3,2,1.5,6.5,19.5,17,13,16.5,58.5
1983,14,19.5,16,13.5,8,2.8,2.8,3,5,12.5,20.5,49,49
1984,59.3,71.4,44.6,34.8,14.4,3,3,7,5.5,15,36.9,42,71.4
1985,47,58.5,37.5,59.2,6,18,0,3,18,19,40,42.5,59.2
1986,74.9,67,95.7,47,1.3,0,11,1,10,10,11.6,62,95.7
1987,42.2,53.3,27.8,7,0,0.7,7.6,1.5,9,14.2,44,37.4,53.3
1988,67.8,59.3,48.2,39.8,16.9,0,0,0,16,42.5,2.5,83,83
1989,112.5,37.6,40.7,45.1,4.2,1.4,0,4.4,6,2.5,19.4,32.8,112.5
1990,55.9,16.2,19,18.3,1.9,27.2,0,9.8,0.6,51,60.9,37.8,60.9
1991,41.2,58,36.8,31,5.8,35.6,0,0,4.6,10.4,28,30,58
1992,34.6,30.4,17.6,3.9,2.4,2.2,2.2,53.6,0,24.3,11.3,26.9,53.6
1993,57,33.6,45.5,28.9,28.9,0,0,18.2,7.4,85.8,58.8,59.2,85.8
1994,42,34.8,86.5,50,9.8,0,0,0,5.3,11.6,23.9,40.4,86.5
1995,32.2,37.3,35.5,3.2,0,0,0,0.2,12.7,8.1,23,31.8,37.3
1996,54.8,58.2,39.4,30.2,1.9,0,2,15.7,8.3,9.1,24.8,63.2,63.2
1997,41.7,111.7,52.5,40.5,3.7,0,0,16.3,42.3,31.6,59.4,59.4,111.7
1998,61.6,68.7,63.7,37.1,0,0,0,5.5,0.8,37.6,31,21.3,68.7
1999,35,50.7,36.1,57.4,19.8,0,1.8,3.6,11.8,57.3,20.6,56.3,57.4
2000,61.3,65.5,82.2,22.9,0.6,0,0,4.9,15.8,74.4,10.2,69.4,82.2
2001,74.8,82.2,62.6,28,10.3,0.8,0.4,11.6,14.5,60.6,18.5,19.9,82.2
2002,36.7,52.7,65.2,72.5,24.4,5.2,15,10.4,4.7,55.6,52.9,56.2,72.5
2003,65.2,38.1,45,17.2,10.8,2.6,0,0.9,13.7,12.1,51.4,81,81
2004,47.5,64.9,30.8,23,9,0.5,7.7,9.2,9,3.3,15.3,23.2,64.9
2005,39.6,136.2,52.3,55.9,0,0,0,0.5,4.8,19.6,46.4,38.6,136.2
2006,82.3,55.7,55.8,65.3,3.2,0.7,0,1.7,43.6,16.9,24.1,28.4,82.3
2007,32.6,49.8,94.3,80,17.3,0,0.8,0,28.1,22,85.9,34.9,94.3
2008,86.3,48.8,48.8,5.1,0,0.2,0,0.6,1,32.6,24.5,62.2,86.3
2009,30.8,58.3,58.4,24.6,0,0,1.6,0.5,1,22.4,91.3,49.9,91.3
2010,52.3,45.1,26,9.4,14.1,0,0.5,0,2.1,10.4,18.2,65.4,65.4
2011,33.4,48.4,53.1,24.3,0.8,0,5.1,4.1,19,23.6,41.7,77.9,77.9
2012,55,66.7,62.9,24.9,0,0,0,2.9,2.4,9.7,24.4,62,66.7
2013,50.2,92.2,20.5,9.4,6.7,8.3,7.3,5,8,39.4,29.8,48.3,92.2
2014,52.1,53.3,20.2,22.8,0.5,0,2.4,27,28,45.2,21.8,66.9,66.9
2015,58.2,49,37.4,78.2,0.4,1.9,3.7,3.7,29.1,22.9,59.4,50.3,78.2
2016,30.3,74.6,21.9,78.3,0.6,3.5,4.6,0,2.5,30.8,30.8,15.6,78.3
2017,45.7,57.4,37,35.8,7.8,3,6,0,21.2,64.6,34.5,64.7,64.7
2018,67.3,62.5,48.7,43,5.7,12.1,25.1,0.8,0,20.4,36.3,51.9,67.3
2019,52.2,42.2,21.9,36.8,11.8,0.6,5.5,0,7.8,26.9,43.4,38.2,52.2
