year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
1965,1,2,3,4,5,6,7,8,9,10,11,12,6.53
1966,1,2,3,4,5,6,7,8,9,10,11,12,6.53
1967,1,2,3,4,5,6,7,8,9,10,11,12,6.53
1968,1,2,3,4,5,6,7,8,9,10,11,12,6.51
1969,1,2,3,4,5,6,7,8,9,10,11,12,6.53
1970,1,2,3,4,5,6,7,8,9,10,11,12,6.53
1971,1,2,3,4,5,6,7,8,9,10,11,12,6.53
1972,1,2,3,4,5,6,7,8,9,10,11,12,6.51
1973,1,2,3,4,5,6,7,8,9,10,11,12,6.53
1974,1,2,3,4,5,6,7,8,9,10,11,12,6.53
1975,1,2,3,4,5,6,7,8,9,10,11,12,6.53
1976,1,2,3,4,5,6,7,8,9,10,11,12,6.51
1977,1,2,3,4,5,6,7,8,9,10,11,12,6.53
1978,1,2,3,4,5,6,7,8,9,10,11,12,6.53
1979,1,2,3,4,5,6,7,8,9,10,11,12,6.53
1980,1,2,3,4,5,6,7,8,9,10,11,12,6.51
1981,1,2,3,4,5,6,7,8,9,10,11,12,6.53
1982,1,2,3,4,5,6,7,8,9,10,11,12,6.53
1983,1,2,3,4,5,6,7,8,9,10,11,12,6.53
1984,1,2,3,4,5,6,7,8,9,10,11,12,6.51
1985,1,2,3,4,5,6,7,8,9,10,11,12,6.53
1986,1,2,3,4,5,6,7,8,9,10,11,12,6.53
1987,1,2,3,4,5,6,7,8,9,10,11,12,6.53
1988,1,2,3,4,5,6,7,8,9,10,11,12,6.51
1989,1,2,3,4,5,6,7,8,9,10,11,12,6.53
1990,1,2,3,4,5,6,7,8,9,10,11,12,6.53
1991,1,2,3,4,5,6,7,8,9,10,11,12,6.53
1992,1,2,3,4,5,6,7,8,9,10,11,12,6.51
1993,1,2,3,4,5,6,7,8,9,10,11,12,6.53
1994,1,2,3,4,5,6,7,8,9,10,11,12,6.53
1995,1,2,3,4,5,6,7,8,9,10,11,12,6.53
1996,1,2,3,4,5,6,7,8,9,10,11,12,6.51
1997,1,2,3,4,5,6,7,8,9,10,11,12,6.53
1998,1,2,3,4,5,6,7,8,9,10,11,12,6.53
1999,1,2,3,4,5,6,7,8,9,10,11,12,6.53
2000,1,2,3,4,5,6,7,8,9,10,11,12,6.51
2001,1,2,3,4,5,6,7,8,9,10,11,12,6.53
2002,1,2,3,4,5,6,7,8,9,10,11,12,6.53
2003,1,2,3,4,5,6,7,8,9,10,11,12,6.53
2004,1,2,3,4,5,6,7,8,9,10,11,12,6.51
2005,1,2,3,4,5,6,7,8,9,10,11,12,6.53
2006,1,2,3,4,5,6,7,8,9,10,11,12,6.53
2007,1,2,3,4,5,6,7,8,9,10,11,12,6.53
2008,1,2,3,4,5,6,7,8,9,10,11,12,6.51
2009,1,2,3,4,5,6,7,8,9,10,11,12,6.53
2010,1,2,3,4,5,6,7,8,9,10,11,12,6.53
2011,1,2,3,4,5,6,7,8,9,10,11,12,6.53
2012,1,2,3,4,5,6,7,8,9,10,11,12,6.51
2013,1,2,3,4,5,6,7,8,9,10,11,12,6.53
2014,1,2,3,4,5,6,7,8,9,10,11,12,6.53
2015,1,2,3,4,5,6,7,8,9,10,11,12,6.53
2016,1,2,3,4,5,6,7,8,9,10,11,12,6.51
2017,1,2,3,4,5,6,7,8,9,10,11,12,6.53
2018,1,2,3,4,5,6,7,8,9,10,11,12,6.53
2019,1,2,3,4,5,6,7,8,9,10,11,12,6.53
