year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
1965,3.18,3.94,3.36,2.58,0.65,-2.12,-1.11,-0.42,2.44,3.65,4.55,4.23,2.07
1966,4.08,4.38,3.5,1.68,0.88,-1.04,-2.41,0.72,2.2,4.74,4.31,4.91,2.32
1967,3.93,4.47,4.19,2.38,1.47,0.58,-0.33,0.66,2.96,3.81,3.74,3.32,2.58
1968,3.87,4.16,3.44,1.8,0.29,-1.38,-1.95,-0.55,1.2,3.31,3.57,3.56,1.77
1969,3.59,3.86,3.33,2.87,0.67,-2.05,-2.48,-0.34,1.24,3.05,3.59,4.29,1.79
1970,4.39,4.14,3.53,2.79,0.89,-0.73,-1.59,-0.44,2.09,2.67,2.36,3.81,1.98
1971,3.82,3.67,3.53,2.65,-0.83,-1.44,-1.99,-1.73,0.07,0,1.84,3.49,1.07
1972,3.36,3.27,3.68,2.32,-0.07,-1.8,-1.51,-0.27,1.71,2.6,4.22,4.18,1.8
1973,4.81,4.95,4.85,3.89,1.77,-2.38,-1.55,-0.35,2.43,4.45,4.66,4.21,2.63
1974,3.66,4.15,3.27,3.09,-0.09,-1.74,-1.31,-0.13,1.34,3.2,3.26,3.89,1.87
1975,3.08,4.25,4.17,3.11,2.47,-0.58,-2.45,-0.61,1.97,2.16,2.77,4.12,2.02
1976,3.8,4.08,3.69,0.92,1.06,-2.1,-1.77,-1.02,1.57,2.21,2.63,4.31,1.61
1977,4.43,3.98,3.85,1.86,-1.16,-3.65,-0.94,-0.77,1.99,4.09,4.67,4.31,1.88
1978,4.35,4.33,3.51,3.46,-0.13,-1.01,-2.46,-1.65,1.03,2.2,3.76,4.5,1.8
1979,3.93,4.57,4.04,3.06,0.17,-0.93,-1.69,-1.34,1.93,2.72,4.22,4.58,2.09
1980,4.5,4.33,4.29,2.11,-0.13,-0.52,-0.26,-0.46,2.79,3.81,3.7,3.08,2.26
1981,4.41,3.78,3.71,2.57,-0.56,-2.32,-1.26,1.18,2.5,3.13,4.44,3.98,2.12
1982,4.04,4,4.14,1.61,1.34,-0.66,-0.99,1.54,2.28,3.37,3.18,3.21,2.25
1983,3.43,3.24,2.53,2.56,1.37,-0.94,-1.34,0.79,2.11,2.26,2.82,3.83,1.88
1984,4.25,4.03,4.07,2.39,0.67,-0.72,-0.18,-0.46,1.49,3.3,3.53,3.73,2.17
1985,3.08,3.62,3.53,2.92,2.17,-0.48,-2.41,-0.08,2.59,2.82,3.27,3.76,2.05
1986,3.95,3.75,3.49,3.35,-0.46,-1.01,-2.78,0.37,2.23,2.77,3.72,3.89,1.92
1987,4.9,3.9,3.71,3.29,1.62,0.06,-0.99,-0.4,2.16,3.22,4.99,4.96,2.61
1988,5.01,4.38,4.37,3.97,2.63,0.1,-1.53,0.11,2.48,3.3,3.73,4.58,2.75
1989,4.53,4.42,3.93,3.74,1.38,0.5,-1.24,-0.02,0.51,3.28,3.04,3.89,2.32
1990,4.15,2.77,2.77,2.73,0.51,-1.13,-2.62,0.91,1.17,3.36,4.3,4.05,1.91
1991,3.23,3.89,3.45,3.46,0.52,-2.46,-0.7,0.18,1.6,2.39,3.12,3.3,1.82
1992,3.23,3.24,2.19,1.19,-0.75,-0.32,-2.76,-1.12,1.1,1.93,2.73,3.47,1.17
1993,3.48,3.06,3.45,3.06,1.09,-2.48,-0.91,-0.9,1.98,3.76,4.64,5.05,2.1
1994,3.91,4.14,3.11,3.47,1.17,-1.53,-1.57,-1.22,1.27,1.98,4.18,4.15,1.9
1995,4.08,3.93,3.61,1.95,-0.37,-1.43,-1.48,-0.31,1.87,2.96,3.83,3.4,1.82
1996,4.06,4.3,3.75,3.12,1.49,-1.35,-2.54,0.69,1.27,3.17,3.53,4.05,2.12
1997,3.5,3.68,2.97,1.85,0.18,-0.91,-1.67,0.27,2.33,3.14,4.1,5.16,2.04
1998,5.35,5.78,5.24,3.28,-0.22,-0.51,-1.85,0.55,1.36,3.52,3.56,4.12,2.49
1999,3.95,4.4,4.34,3.01,1.23,-1.42,-0.46,0.57,1.27,2.68,2.77,4.26,2.21
2000,4.16,3.97,4.15,2.54,1.2,-0.29,-1.6,0.88,1.93,3.06,3.15,3.76,2.24
2001,4.18,4.64,4.33,3.26,1.78,0.45,-0.56,-0.11,3.01,3.42,4.33,3.68,2.68
2002,4.11,4.78,4.63,4.03,2.15,0.65,-0.52,0.46,2.5,3.62,3.87,4.56,2.89
2003,4.59,4.96,4.33,2.98,1.6,-1.84,-1.53,-0.19,1.13,2.57,3.14,4.38,2.16
2004,4.39,4.48,4.44,3.54,0.47,-1.14,-1.21,0.01,2.5,3.45,3.67,4.71,2.44
2005,5.01,4.61,4.68,3.8,0.15,-2.04,-0.88,-1.46,1.51,3.08,2.95,3.88,2.09
2006,4.28,4.76,4.7,2.75,-1.53,-1.93,-4.08,0.31,1.74,3.43,4.55,4.3,1.92
2007,4.69,4.51,4.19,3.3,2.48,0.01,-1.25,1.49,2.67,3.17,3.17,3.78,2.68
2008,4.36,4.03,2.99,2.43,-0.89,-1.17,-2.37,-1.19,0.51,3.38,4.54,4.39,1.74
2009,4.22,4.11,3.59,1.9,1.2,-2.05,-0.05,-1.34,2.01,3.05,4.64,5.25,2.2
2010,6.07,6.15,5.28,3.71,0.89,0.02,-1.67,-0.41,1.11,3.35,3.66,5.2,2.76
2011,5.05,4.89,4.21,2.91,-0.06,-0.78,-1.63,0.03,2.09,3.19,4.88,4.7,2.44
2012,4.98,5,4.5,4.17,-0.12,-2.75,-2.57,-1.35,1.25,4.21,5.03,5.51,2.31
2013,4.77,5.58,4.95,1.93,2.05,-1.25,-0.81,-0.35,1.49,3.48,4.7,4.75,2.59
2014,4.28,4.39,3.95,2.85,1.38,-0.04,-1.3,-1.1,2.8,2.86,3.59,5,2.37
2015,4.54,4.79,4.4,2.98,0.61,-1.85,-2.92,-0.49,2.73,3.01,5.14,4.94,2.3
2016,5.57,5.71,3.95,3.35,0.57,-0.23,-0.51,0.14,0.83,3.54,3.58,4.88,2.61
2017,4.8,4.46,3.93,2.77,2.7,-0.77,-1.45,0.43,1.75,2.54,3.35,3.09,2.29
2018,3.09,3.38,5.31,2.02,0.84,-0.54,-0.86,-0.62,-0.21,3.57,4.57,3.14,1.97
2019,4.17,4.28,3.57,1.75,0.1,-3.59,-1.06,-1.36,2.74,2.03,4.17,4.99,1.8
