month,AYAVIRI,PROGRESO,LAMPA,CABANILLAS,AZANGARO,ARAPA,MUNANI,HUANCANE,HUARAYAMOHO,CAPACHICA
1,144.16333333333333,130.32333333333332,147.56,144.23333333333332,127.03999999999999,122.15666666666667,134.83333333333334,131.67666666666665,179.89333333333335,176.22333333333333
2,127.16666666666667,112.47333333333334,137.05,135.15333333333334,100.33999999999999,117.27666666666667,105.36666666666666,111.24666666666667,141.41666666666666,156.11
3,108.68666666666667,95.64666666666668,111.65,103.61,90.01666666666667,95.59666666666666,93.38666666666667,94.21333333333334,116.16666666666667,135.57333333333332
4,42.96,43.8,49.373333333333335,52.96,36.28333333333333,45.11,41.09666666666667,35.836666666666666,54.92666666666667,50.36666666666667
5,7.680000000000001,7.25,7.233333333333333,4.5600000000000005,8.24,10.286666666666667,9.743333333333334,10.583333333333334,15.246666666666668,7.573333333333333
6,4.676666666666667,2.6366666666666663,5.123333333333333,3.8299999999999996,4.923333333333333,7.7733333333333325,5.723333333333333,6.263333333333334,9.576666666666666,5.29
7,2.75,3.3666666666666667,3.57,3.04,2.57,4.113333333333333,2.8666666666666667,4.3933333333333335,6.3533333333333335,5.066666666666666
8,7.239999999999999,6.8,8.66,8.796666666666665,8.93,9.65,8.013333333333334,10.176666666666668,12.876666666666667,13.55
9,14.526666666666667,18.73,19.226666666666667,16.62,20.5,22.886666666666667,21.953333333333333,24.276666666666664,30.226666666666667,26.293333333333333
10,49.876666666666665,51.443333333333335,52.74,48.833333333333336,52.04333333333333,56.24333333333333,55.440000000000005,54.52333333333333,61.89666666666667,46.830000000000005
11,62.173333333333325,57.8,57.36,60.593333333333334,60.30333333333333,54.70333333333333,56.779999999999994,54.59666666666667,67.14,51.776666666666664
12,104.22333333333333,98.03333333333333,120.11,105.65666666666667,90.32999999999998,99.89666666666668,102.37333333333332,108.65666666666667,137.69666666666666,107.03999999999999
