month,AYAVIRI,PROGRESO,LAMPA,CABANILLAS,AZANGARO,ARAPA,MUNANI,HUANCANE,HUARAYAMOHO,CAPACHICA
1,141.888,128.3,161.44,147.212,112.86800000000001,155.664,136.808,147.236,209.99200000000002,187.328
2,121.6,103.708,131.58800000000002,138.49200000000002,102.332,119.18,121.03200000000001,117.056,151.168,161.50799999999998
3,100.88,102.336,110.488,110.164,89.85600000000001,125.22,89.03199999999998,100.71600000000001,125.96,144.084
4,47.604,46.588,48.168,39.108000000000004,46.588,50.632,50.724,45.891999999999996,61.888000000000005,52.56399999999999
5,7.028,8.612,8.344000000000001,7.696000000000001,8.144,12.632,6.068,12.883999999999999,26.372000000000003,13.056
6,2.668,1.984,2.76,1.4040000000000001,3.0239999999999996,3.656,2.024,3.072,6.476,4.436
7,2.872,3.1919999999999997,1.6,1.824,2.668,4.252,3.2960000000000003,4.303999999999999,9.704,4.324
8,8.08,6.144,8.4,6.64,7.568,13.456,7.276,9.22,16.56,7.667999999999999
9,19.163999999999998,24.488000000000003,26.704,20.216,24.344,29.568,27.456,37.052,48.443999999999996,29.7
10,46.032,39.728,41.93600000000001,27.112,39.344,46.792,38.327999999999996,44.76,54.472,49.236000000000004
11,78.66799999999999,71.91199999999999,67.7,50.656000000000006,70.1,73.56400000000001,62.772,65.804,73.432,70.91199999999999
12,113.20800000000001,98.86399999999999,109.46800000000002,99.62,92.9,104.368,107.3,105.696,131.352,124.892
