month,AYAVIRI,PROGRESO,LAMPA,CABANILLAS,AZANGARO,ARAPA,MUNANI,HUANCANE,HUARAYAMOHO,CAPACHICA
1,16.154064516129033,15.652516129032259,16.21625806451613,,15.785548387096773,15.831354838709677,15.041290322580645,14.649161290322581,14.326580645161291,14.109419354838709
2,16.20169971671388,15.630594900849859,16.10410764872521,,15.854815864022664,15.839943342776204,15.187677053824363,14.608356940509916,14.487960339943342,13.941784702549574
3,16.324,15.813032258064517,16.189032258064515,,15.911225806451613,16.150709677419353,15.383612903225805,14.650709677419353,14.439225806451612,13.980774193548388
4,16.6116,16.120933333333333,16.476266666666668,,16.315333333333335,16.510933333333334,16.14946666666667,15.041866666666666,14.722133333333334,14.322933333333335
5,16.65509677419355,15.99716129032258,16.393935483870965,,16.15290322580645,16.41509677419355,15.979354838709677,14.745419354838711,14.254322580645162,14.278322580645161
6,16.228,15.781466666666667,15.969866666666666,,15.886266666666668,15.9392,15.733466666666667,14.396133333333333,13.886,14.038133333333334
7,16.204645161290323,15.533161290322582,15.899483870967742,,15.814838709677419,15.770709677419354,15.570322580645161,14.048774193548386,13.656516129032257,13.770193548387097
8,16.6978064516129,16.10232258064516,16.48851612903226,,16.34632258064516,16.345806451612905,16.400129032258064,14.745290322580646,14.531483870967742,13.991096774193549
9,17.472933333333334,16.393066666666666,17.0492,,16.764933333333335,16.89773333333333,16.638666666666666,15.277066666666666,15.203866666666666,14.413066666666666
10,18.253290322580643,16.892,17.59883870967742,,17.381806451612903,17.584774193548387,17.20916129032258,16.00774193548387,15.888903225806452,15.016387096774194
11,18.151733333333333,16.94373333333333,17.938266666666667,,17.368266666666667,17.657466666666668,17.0536,16.24,15.986133333333333,15.249866666666666
12,17.251225806451615,16.302064516129033,16.991741935483873,,16.66,16.81625806451613,16.18258064516129,15.33767741935484,14.97483870967742,14.55483870967742
